Species;Family;Order;Class;Phylum;Kingdom
Furcraea foetida;Agavaceae;Liliales;Liliopsida;Magnoliophyta;Plantae
Gallus gallus;Phasianidae;Galliformes;Aves;Chordata;Animalia
Gallus varius;Phasianidae;Galliformes;Aves;Chordata;Animalia
Gambusia affinis;Poeciliidae;Cyprinodontiformes;Actinopterygii;Chordata;Animalia
Gambusia holbrooki;Poeciliidae;Cyprinodontiformes;Actinopterygii;Chordata;Animalia
Gastrophryne carolinensis;	Microhylidae;Anura;Amphibia;Chordata;Animalia
Gemma gemma;Veneridae;Veneroida;Bivalvia;Mollusca;Animalia
Genetta genetta;Viverridae;Carnivora;Mammalia;Chordata;Animalia
Genista monspessulana;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Geukensia demissa;Mytilidae;Mytiloida;Bivalvia;Mollusca;Animalia
Glyceria maxima;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Glyptoperichthys gibbiceps;Loricariidae;Siluriformes;Actinopterygii;Chordata;Animalia
Gonipterus scutellatus;Curculionidae;Coleoptera;Insecta;Arthropoda;Animalia
Gracilaria gracilis;Gracilariaceae;Gigartinales;Rhodophyceae;Rhodophycota;Plantae
Gracilaria salicornia;Gracilariaceae;Gigartinales;Rhodophyceae;Rhodophycota;Plantae
Gracilaria vermiculophylla;Gracilariaceae;Gigartinales;Rhodophyceae;Rhodophycota;Plantae
Grevillea robusta;Proteaceae;Proteales;Magnoliopsida;Magnoliophyta;Plantae
Gunnera manicata;Gunneraceae;Haloragales;Magnoliopsida;Magnoliophyta;Plantae
Gunnera tinctoria;Gunneraceae;Haloragales;Magnoliopsida;Magnoliophyta;Plantae
Gymnocephalus cernuus;Percidae;Perciformes;Actinopterygii;Chordata;Animalia
Gymnocoronis spilanthoides;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Gymnodinium catenatum;Gymnodiniaceae;Gymnodiniales;Dinophyceae;Pyrrophycophyta;Plantae
Gymnorhina tibicen;Cracticidae;Passeriformes;Aves;Chordata;Animalia
Haematoxylum campechianum;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Halophila stipulacea;Hydrocharitaceae;Hydrocharitales;Liliopsida;Magnoliophyta;Plantae
Harmonia axyridis;Coccinellidae;Coleoptera;Insecta;Arthropoda;Animalia
Hedera helix;Alariaceae;Laminariales;Phaeophyceae;Phaeophycophyta;Plantae
Hedychium coccineum;Zingiberaceae;Zingiberales;Liliopsida;Magnoliophyta;Plantae
Hedychium coronarium;Zingiberaceae;Zingiberales;Liliopsida;Magnoliophyta;Plantae
Hedychium flavescens;Zingiberaceae;Zingiberales;Liliopsida;Magnoliophyta;Plantae
Hedychium gardnerianum;Zingiberaceae;Zingiberales;Liliopsida;Magnoliophyta;Plantae
Heliotropium curassavicum;Boraginaceae;Lamiales;Magnoliopsida;Magnoliophyta;Plantae
Helix aspersa;Helicidae;Stylommatophora;Gastropoda;Mollusca;Animalia
Hemiberlesia pitysophila;Diaspidae;Homoptera;Insecta;Arthropoda;Animalia
Hemidactylus frenatus;Gekkonidae;Squamata;Reptilia;Chordata;Animalia
Hemidactylus mabouia;Gekkonidae;Squamata;Reptilia;Chordata;Animalia
Hemigrapsus sanguineus;Varunidae;Decapoda;Malacostraca;Arthropoda;Animalia
Hemitragus jemlahicus;Bovidae;Artiodactyla;Mammalia;Chordata;Animalia
Heracleum mantegazzianum;Apiaceae;Apiales;Magnoliopsida;Magnoliophyta;Plantae
Herpestes javanicus;Herpestidae;Carnivora;Mammalia;Chordata;Animalia
Herpestes pulverulentus;Herpestidae;Carnivora;Mammalia;Chordata;Animalia
Heteropogon contortus;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Hieracium aurantiacum;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Hieracium floribundum;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Hieracium pilosella;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Hiptage benghalensis;Malpighiaceae;Polygalales;Magnoliopsida;Magnoliophyta;Plantae
Holcus lanatus;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Homalodisca vitripennis;Cicdellidae;Hemiptera;Insecta;Arthropoda;Animalia
Homo sapiens;Homonidae;Primates;Mammalia;Chordata;Animalia
Hoplochelus marginalis;Melolonthidae;Coleoptera;Insecta;Arthropoda;Animalia
Houttuynia cordata;Saururaceae;Piperales;Magnoliopsida;Magnoliophyta;Plantae
Hydrilla verticillata;Hydrocharitaceae;Hydrocharitales;Liliopsida;Magnoliophyta;Plantae
Hydrocharis morsus-ranae;Hydrocharitaceae;Hydrocharitales;Liliopsida;Magnoliophyta;Plantae
Hygrophila polysperma;Acanthaceae;Scrophulariales;Magnoliopsida;Magnoliophyta;Plantae
Hylastes ater;Curculionidae;Coleoptera;Insecta;Arthropoda;Animalia
Hypericum perforatum;Clusiaceae;Theales;Magnoliopsida;Magnoliophyta;Plantae
Hyphantria cunea;Arctiidae;Lepidoptera;Insecta;Arthropoda;Animalia
Hypnea musciformis;Hypneaceae;Gigartinales;Rhodophyceae;Rhodophycota;Plantae
Hypochaeris radicata;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Hypogastura purpurescens;Hypogastura;Collembola;Insecta;Arthropoda;Animalia
Hypogastura viatica;Hypogastura;Collembola;Insecta;Arthropoda;Animalia
Hypophthalmichthys molitrix;Cyprinidae;Cypriniformes;Actinopterygii;Chordata;Animalia
Hypophthalmichthys nobilis;Cyprinidae;Cypriniformes;Actinopterygii;Chordata;Animalia
Icerya purchasi;Margarodidae;Hemiptera;Insecta;Arthropoda;Animalia
Iguana iguana;Iguanidae;Squamata;Reptilia;Chordata;Animalia
Ilyanassa obsoleta;Nassariidae;Neogastropoda;Gastropoda;Mollusca;Animalia
Impatiens glandulifera;Balsaminaceae;Geraniales;Magnoliopsida;Magnoliophyta;Plantae
Impatiens walleriana;Balsaminaceae;Geraniales;Magnoliopsida;Magnoliophyta;Plantae
Imperata cylindrica;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Ipomoea aquatica;Convolvulaceae;Solanales;Magnoliopsida;Magnoliophyta;Plantae
Ipomoea cairica;Convolvulaceae;Solanales;Magnoliopsida;Magnoliophyta;Plantae
Ips typographus;Scolytidae;Coleoptera;Insecta;Arthropoda;Animalia
Iris pseudacorus;Iridaceae;Liliales;Liliopsida;Magnoliophyta;Plantae
Ischaemum polystachyum;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Ischaemum timorense;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Jatropha gossypiifolia;Euphorbiaceae;Euphorbiales;Magnoliopsida;Magnoliophyta;Plantae
Juncus tenuis;Juncaceae;Juncales;Liliopsida;Magnoliophyta;Plantae
Juniperus bermudiana;Cupressaceae;Coniferales;Coniferopsida;Coniferophyta;Plantae
Kalanchoe pinnata;Crassulaceae;Rosales;Magnoliopsida;Magnoliophyta;Plantae
Kappaphycus spp.;Solieriaceae;Gigartinales;Florideophiceae;Rhodophyta;Plantae
Kunzea ericoides;Myrtaceae;Myrtales;Magnoliopsida;Magnoliophyta;Plantae
Lachnellula willkommii;Hyaloscyphaceae;Helotiales;Leotiomycetes;Ascomycota;Fungi
Lagarosiphon major;Hydrocharitaceae;Hydrocharitales;Liliopsida;Magnoliophyta;Plantae
Lama guanicoe;Camelidae;Artiodactyla;Mammalia;Chordata;Animalia
Landoltia punctata;Lemnaceae;Arales;Liliopsida;Magnoliophyta;Plantae
Lantana camara;Verbenaceae;Lamiales;Magnoliopsida;Magnoliophyta;Plantae
Lasius neglectus;Formicidae;Hymenoptera;Insecta;Arthropoda;Animalia
Lates niloticus;Centropomidae;Perciformes;Actinopterygii;Chordata;Animalia
Launaea intybacea;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Leiothrix lutea;Sylviidae;Passeriformes;Aves;Chordata;Animalia
Lepidium latifolium;Brassicaceae;Capparales;Magnoliopsida;Magnoliophyta;Plantae
Lepidium virginicum;Brassicaceae;Capparales;Magnoliopsida;Magnoliophyta;Plantae
Lepus americanus;Leporidae;Lagomorpha;Mammalia;Chordata;Animalia
Lepus europaeus;Leporidae;Lagomorpha;Mammalia;Chordata;Animalia
Lespedeza cuneata;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Leucaena leucocephala;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Leuciscus idus;Cyprinidae;Cypriniformes;Actinopterygii;Chordata;Animalia
Ligustrum lucidum;Oleaceae;Scrophulariales;Magnoliopsida;Magnoliophyta;Plantae
Ligustrum robustum;Oleaceae;Scrophulariales;Magnoliopsida;Magnoliophyta;Plantae
Ligustrum sinense;Oleaceae;Scrophulariales;Magnoliopsida;Magnoliophyta;Plantae
Ligustrum vulgare;Oleaceae;Scrophulariales;Magnoliopsida;Magnoliophyta;Plantae
Limnocharis flava;Limnocharitaceae;Alismatales;Liliopsida;Magnoliophyta;Plantae
Limnoperna fortunei;Mytilidae;Mytiloida;Bivalvia;Mollusca;Animalia
Limnophila sessiliflora;Scrophulariaceae;Scrophulariales;Magnoliopsida;Magnoliophyta;Plantae
Linaria vulgaris;Scrophulariaceae;Scrophulariales;Magnoliopsida;Magnoliophyta;Plantae
Linepithema humile;Formicidae;Hymenoptera;Insecta;Arthropoda;Animalia
Linyphia triangularis;Linyphiidae;Araneae;Arachnida;Arthropoda;Animalia
Lithobates catesbeianus;Ranidae;Anura;Amphibia;Chordata;Animalia
Litoria aurea;Hylidae;Anura;Amphibia;Chordata;Animalia
Litsea glutinosa;Lauraceae;Laurales;Magnoliopsida;Magnoliophyta;Plantae
Littorina littorea;Littorinidae;Neotaenioglossa;Gastropoda;Mollusca;Animalia
Livistona chinensis;Arecaceae;Arecales;Liliopsida;Magnoliophyta;Plantae
Lonicera japonica;Caprifoliaceae;Dipsacales;Magnoliopsida;Magnoliophyta;Plantae
Lonicera maackii;Caprifoliaceae;Dipsacales;Magnoliopsida;Magnoliophyta;Plantae
Lotus corniculatus;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Ludwigia peruviana;Onagraceae;Myrtales;Magnoliopsida;Magnoliophyta;Plantae
Lumbricus rubellus;Lumbricidae;Haplotaxida;Clitellata;Annelida;Animalia
Lumbricus terrestris;Lumbricidae;Haplotaxida;Clitellata;Annelida;Animalia
Lutjanus kasmira;Lutjanidae;Perciformes;Actinopterygii;Chordata;Animalia
Luzula campestris;Juncaceae;Juncales;Liliopsida;Magnoliophyta;Plantae
Lycalopex griseus;Canidae;Carnivora;Mammalia;Chordata;Animalia
Lygodium japonicum;Lygodiaceae;Polypodiales;Filicopsida;Pteridophyta;Plantae
Lygodium microphyllum;Lygodiaceae;Polypodiales;Filicopsida;Pteridophyta;Plantae
Lymantria dispar;Lymantriidae;Lepidoptera;Insecta;Arthropoda;Animalia
Lythrum salicaria;Lythraceae;Myrtales;Magnoliopsida;Magnoliophyta;Plantae
Macaca fascicularis;Cercopithecidae;Primates;Mammalia;Chordata;Animalia
Macaca mulatta;Cercopithecidae;Primates;Mammalia;Chordata;Animalia
Macfadyena unguis-cati;Bignoniaceae;Scrophulariales;Magnoliopsida;Magnoliophyta;Plantae
Maconellicoccus hirsutus;Pseudococcidae;Hemiptera;Insecta;Arthropoda;Animalia
Martes melampus;Mustelidae;Carnivora;Mammalia;Chordata;Animalia
Melaleuca quinquenervia;Myrtaceae;Myrtales;Magnoliopsida;Magnoliophyta;Plantae
Melastoma candidum;Melastomataceae;Myrtales;Magnoliopsida;Magnoliophyta;Plantae
Melia azedarach;Meliaceae;Sapindales;Magnoliopsida;Magnoliophyta;Plantae
Melilotus alba;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Melinis minutiflora;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Merremia peltata;Convolvulaceae;Solanales;Magnoliopsida;Magnoliophyta;Plantae
Merremia tuberosa;Convolvulaceae;Solanales;Magnoliopsida;Magnoliophyta;Plantae
Miconia calvescens;Melastomataceae;Myrtales;Magnoliopsida;Magnoliophyta;Plantae
Micropterus salmoides;Centrarchidae;Perciformes;Actinopterygii;Chordata;Animalia
Microstegium vimineum;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Mikania micrantha;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Mimosa diplotricha;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Mimosa pigra;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Mimosa pudica;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Miscanthus sinensis;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Misgurnus anguillicaudatus;Cobitidae;Cypriniformes;Actinopterygii;Chordata;Animalia
Mnemiopsis leidyi;Mnemiidae;Lobata;Tentaculata;Ctenophora;Animalia
Molothrus ater;Icteridae;Passeriformes;Aves;Chordata;Animalia
Molothrus bonariensis;Icteridae;Passeriformes;Aves;Chordata;Animalia
Monomorium destructor;Formicidae;Hymenoptera;Insecta;Arthropoda;Animalia
Monomorium floricola;Formicidae;Hymenoptera;Insecta;Arthropoda;Animalia
Monomorium pharaonis;Formicidae;Hymenoptera;Insecta;Arthropoda;Animalia
Monopterus albus;Synbranchidae;Synbranchiformes;Actinopterygii;Chordata;Animalia
Montia fontana;Portulacaceae;Caryophyllales;Magnoliopsida;Magnoliophyta;Plantae
Morella faya;Myricaceae;Myricales;Magnoliopsida;Magnoliophyta;Plantae
Morone americana;Moronidae;Perciformes;Actinopterygii;Chordata;Animalia
Morus alba;Moraceae;Urticales;Magnoliopsida;Magnoliophyta;Plantae
Mus musculus;Muridae;Rodentia;Mammalia;Chordata;Animalia
Musculista senhousia;Mytilidae;Mytiloida;Bivalvia;Mollusca;Animalia
Mustela erminea;Mustelidae;Carnivora;Mammalia;Chordata;Animalia
Mustela furo;Mustelidae;Carnivora;Mammalia;Chordata;Animalia
Mustela nivalis;Mustelidae;Carnivora;Mammalia;Chordata;Animalia
Mya arenaria;Myidae;Myoida;Bivalvia;Mollusca;Animalia
Mycale grandis;Mycalidae;Poecilosclerida;Demospongiae;Porifera;Animalia
Myiopsitta monachus;Psittacidae;Psittaciformes;Aves;Chordata;Animalia
Myocastor coypus;Myocastoridae;Rodentia;Mammalia;Chordata;Animalia
Myriophyllum aquaticum;Haloragaceae;Haloragales;Magnoliopsida;Magnoliophyta;Plantae
Myriophyllum heterophyllum;Haloragaceae;Haloragales;Magnoliopsida;Magnoliophyta;Plantae
Myriophyllum spicatum;Haloragaceae;Haloragales;Magnoliopsida;Magnoliophyta;Plantae
Myrmica rubra;Formicidae;Hymenoptera;Insecta;Arthropoda;Animalia
Mytilopsis leucophaeata;Dreissenidae;Veneroida;Bivalvia;Mollusca;Animalia
Mytilopsis sallei;Dreissenidae;Veneroida;Bivalvia;Mollusca;Animalia
Mytilus galloprovincialis;Mytilidae;Mytiloida;Bivalvia;Mollusca;Animalia
Myxobolus cerebralis;Myxobolidae;Bivalvulida;Myxosporea;Myxozoa;Animalia
Najas minor;Najadaceae;Najadales;Liliopsida;Magnoliophyta;Plantae
Nassella neesiana;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Nassella tenuissima;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Nasua nasua;Procyonidae;Carnivora;Mammalia;Chordata;Animalia
Natrix maura;Colubridae;Squamata;Reptilia;Chordata;Animalia
Neogobius melanostomus;Gobiidae;Perciformes;Actinopterygii;Chordata;Animalia
Neonectria faginata;Nectriaceae;Hypocreales;Sordariomycetes;Ascomycota;Fungi
Neovison vison;Mustelidae;Carnivora;Mammalia;Chordata;Animalia
Nephrolepis cordifolia;Dryopteridaceae;Polypodiales;Filicopsida;Pteridophyta;Plantae
Neyraudia reynaudiana;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Nicotiana glauca;Solanaceae;Solanales;Magnoliopsida;Magnoliophyta;Plantae
Norops grahami;Polychrotidae;Squamata;Reptilia;Chordata;Animalia
Norops sagrei;Polychrotidae;Squamata;Reptilia;Chordata;Animalia
Nylanderia (=Paratrechina) pubens;Formicidae;Hymenoptera;Insecta;Arthropoda;Animalia
Nymphaea odorata;Nymphaeaceae;Nymphaeales;Magnoliopsida;Magnoliophyta;Plantae
Nymphoides peltata;Menyanthaceae;Solanales;Magnoliopsida;Magnoliophyta;Plantae
Nypa fruticans;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Ochlerotatus japonicus japonicus;Culicidae;Diptera;Insecta;Arthropoda;Animalia
Ocimum gratissimum;Lamiaceae;Lamiales;Magnoliopsida;Magnoliophyta;Plantae
Odocoileus virginianus;Cervidae;Artiodactyla;Mammalia;Chordata;Animalia
Oeceoclades maculata;Orchidaceae;Orchidales;Liliopsida;Magnoliophyta;Plantae
Olea europaea;Oleaceae;Scrophulariales;Magnoliopsida;Magnoliophyta;Plantae
Oncorhynchus mykiss;Salmonidae;Salmoniformes;Actinopterygii;Chordata;Animalia
Onopordum acanthium;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Oopterus soledadinus;Carabidae;Coleoptera;Insecta;Arthropoda;Animalia
Ophiostoma ulmi sensu lato;Ophiostomataceae;Ophiostomatales;Ascomycetes;Ascomycota;Fungi
Oplismenus undulatifolius;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Opuntia cochenillifera;Cactacea;Caryophyllales;Magnoliopsida;Magnoliophyta;Plantae
Opuntia ficus-indica;Cactacea;Caryophyllales;Magnoliopsida;Magnoliophyta;Plantae
Opuntia monacantha;Cactacea;Caryophyllales;Magnoliopsida;Magnoliophyta;Plantae
Opuntia stricta;Cactacea;Caryophyllales;Magnoliopsida;Magnoliophyta;Plantae
Oracella acuta;Pseudococcidae;Hemiptera;Insecta;Arthropoda;Animalia
Orconectes rusticus;Cambaridae;Decapoda;Malacostraca;Arthropoda;Animalia
Orconectes virilis;Cambaridae;Decapoda;Malacostraca;Arthropoda;Animalia
Oreochromis;Cichlidae;Perciformes;Actinopterygii;Chordata;Animalia
Oreochromis aureus;Cichlidae;Perciformes;Actinopterygii;Chordata;Animalia
Oreochromis mossambicus;Cichlidae;Perciformes;Actinopterygii;Chordata;Animalia
Oreochromis niloticus;Cichlidae;Perciformes;Actinopterygii;Chordata;Animalia
Orthezia insignis;Ortheziidae;Hemiptera;Insecta;Arthropoda;Animalia
Orthotomicus erosus;Scolytidae;Coleoptera;Insecta;Arthropoda;Animalia
Oryctes rhinoceros;Scarabaeidae;Coleoptera;Insecta;Arthropoda;Animalia
Oryctolagus cuniculus;Leporidae;Lagomorpha;Mammalia;Chordata;Animalia
Osteopilus septentrionalis;Hylidae;Anura;Amphibia;Chordata;Animalia
Ostrea edulis;Ostreidae;Ostreoida;Bivalvia;Mollusca;Animalia
Ovis ammon;Bovidae;Artiodactyla;Mammalia;Chordata;Animalia
Ovis aries;Bovidae;Artiodactyla;Mammalia;Chordata;Animalia
Oxalis corniculata;Oxalidaceae;Geraniales;Magnoliopsida;Magnoliophyta;Plantae
Oxalis latifolia;Oxalidaceae;Geraniales;Magnoliopsida;Magnoliophyta;Plantae
Oxalis pes-caprae;Oxalidaceae;Geraniales;Magnoliopsida;Magnoliophyta;Plantae
Oxycaryum cubense;Cyperaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Oxyura jamaicensis;Anatidae;Anseriformes;Aves;Chordata;Animalia
Pachycondyla chinensis;Formicidae;Hymenoptera;Insecta;Arthropoda;Animalia
Pacifastacus leniusculus;Astacidae;Decapoda;Malacostraca;Arthropoda;Animalia
Paederia foetida;Rubiaceae;Rubiales;Magnoliopsida;Magnoliophyta;Plantae
Panicum repens;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Paratachardina pseudolobata;Kerriidae;Hemiptera;Insecta;Arthropoda;Animalia
Paratrechina longicornis;Formicidae;Hymenoptera;Insecta;Arthropoda;Animalia
Parthenium hysterophorus;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Paspalum scrobiculatum;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Paspalum urvillei;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Paspalum vaginatum;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Passer domesticus;Passeridae;Passeriformes;Aves;Chordata;Animalia
Passiflora edulis;Passifloraceae;Violales;Magnoliopsida;Magnoliophyta;Plantae
Passiflora foetida;Passifloraceae;Violales;Magnoliopsida;Magnoliophyta;Plantae
Passiflora maliformis;Passifloraceae;Violales;Magnoliopsida;Magnoliophyta;Plantae
Passiflora suberosa;Passifloraceae;Violales;Magnoliopsida;Magnoliophyta;Plantae
Passiflora tarminiana;Passifloraceae;Violales;Magnoliopsida;Magnoliophyta;Plantae
Pasteurella multocida;Pasteurellaceae;Pasteurellales;Gammaproteobacteria;Proteobacteria;Monera
Paulownia tomentosa;Scrophulariaceae;Scrophulariales;Magnoliopsida;Magnoliophyta;Plantae
Perca fluviatilis;Percidae;Perciformes;Actinopterygii;Chordata;Animalia
Perna perna;Mytilidae;Mytiloida;Bivalvia;Mollusca;Animalia
Perna viridis;Mytilidae;Mytiloida;Bivalvia;Mollusca;Animalia
Peromyscus fraterculus;Muridae;Rodentia;Mammalia;Chordata;Animalia
Peromyscus maniculatus;Muridae;Rodentia;Mammalia;Chordata;Animalia
Persicaria perfoliata;Polygonaceae;Polygonales;Magnoliopsida;Magnoliophyta;Plantae
Petrogale inornata;Macropodidae;Diprotodontia;Mammalia;Chordata;Animalia
Petromyzon marinus;Petromyzontidae;Petromyzontiformes;Cephalaspidomorphi;Chordata;Animalia
Phalanger orientalis;Phalangeridae;Diprotodontia;Mammalia;Chordata;Animalia
Phalaris arundinacea;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Phalloceros caudimaculatus;Poeciliidae;Cyprinodontiformes;Actinopterygii;Chordata;Animalia
Pheidole megacephala;Formicidae;Hymenoptera;Insecta;Arthropoda;Animalia
Phellinus noxius;Hymenochaetaceae;Aphyllophorales;Hymenomycetidae;Eumycota;Fungi
Philornis downsi;Muscidae;Diptera;Insecta;Arthropoda;Animalia
Phoenix canariensis;Arecaceae;Arecales;Liliopsida;Magnoliophyta;Plantae
Phormium tenax;Agavaceae;Liliales;Liliopsida;Magnoliophyta;Plantae
Phoxinus phoxinus;Cyprinidae;Cypriniformes;Actinopterygii;Chordata;Animalia
Phragmites australis;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Phyllorhiza punctata;Mastigiidae;Rhizostomeae;Scyphozoa;Cnidaria;Animalia
Phyllostachys flexuosa;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Phymatosorus scolopendria;	Polypodiaceae;Polypodiales;Filicopsida;Pteridophyta;Plantae
Physalis peruviana;Solanaceae;Solanales;Magnoliopsida;Magnoliophyta;Plantae
Phytophthora cinnamomi;Phytiaceae;Phythiales;Oomycetes;Oomycota;Fungi
Phytophthora lateralis;Phytiaceae;Phythiales;Oomycetes;Oomycota;Fungi
Phytophthora pinifolia;Phytiaceae;Phythiales;Oomycetes;Oomycota;Fungi
Phytophthora ramorum;Phytiaceae;Phythiales;Oomycetes;Oomycota;Fungi
Phytophthora taxon Agathis (PTA);Phytiaceae;Phythiales;Oomycetes;Oomycota;Fungi
Pimenta dioica;Myrtaceae;Myrtales;Magnoliopsida;Magnoliophyta;Plantae
Pinus;Pinaceae;Pinales;Pinopsida;Coniferophyta;Plantae
Pinus caribaea;Pinaceae;Pinales;Pinopsida;Coniferophyta;Plantae
Pinus pinaster;Pinaceae;Pinales;Pinopsida;Coniferophyta;Plantae
Piper aduncum;Piperaceae;Piperales;Magnoliopsida;Magnoliophyta;Plantae
Pistia stratiotes;Araceae;Arales;Liliopsida;Magnoliophyta;Plantae
Pitangus sulphuratus;Tyrannidae;Passeriformes;Aves;Chordata;Animalia
Pittosporum tenuifolium;Pittosporaceae;Rosales;Magnoliopsida;Magnoliophyta;Plantae
Pittosporum undulatum;Pittosporaceae;Rosales;Magnoliopsida;Magnoliophyta;Plantae
Pittosporum viridiflorum;Pittosporaceae;Rosales;Magnoliopsida;Magnoliophyta;Plantae
Plasmodium relictum;Plasmodiidae;Haemosporida;Aconoidasida;Apicomplexa;Protista
Platydemus manokwari;Geoplanidae;Tricladida;Turbellaria;Platyhelminthes;Animalia
Pluchea carolinensis;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Pluchea indica;Asteraceae;Asterales;Magnoliopsida;Magnoliophyta;Plantae
Poa annua;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Poa pratensis;Poaceae;Cyperales;Liliopsida;Magnoliophyta;Plantae
Podarcis sicula;Lacertidae;Squamata;Reptilia;Chordata;Animalia
Poecilia reticulata;Poeciliidae;Cyprinodontiformes;Actinopterygii;Chordata;Animalia
Polistes chinensis antennalis;Vespidae;Hymenoptera;Insecta;Arthropoda;Animalia
Polygala paniculata;Polygalaceae;Polygalales;Magnoliopsida;Magnoliophyta;Plantae
Polygonum cuspidatum;Polygonaceae;Polygonales;Magnoliopsida;Magnoliophyta;Plantae
Polysiphonia brodiei;Rhodomelaceae;Ceramiales;Rhodophyceae;Rhodophyta;Plantae
Pomacea canaliculata;Ampullariidae;Architaenioglossa;Gastropoda;Mollusca;Animalia
Pomacea insularum;Ampullariidae;Architaenioglossa;Gastropoda;Mollusca;Animalia
Pongo borneo;Homonidae;Primates;Mammalia;Chordata;Animalia
Populus alba;Salicaceae;Salicales;Magnoliopsida;Magnoliophyta;Plantae
Porcellio scaber;Porcellionidae;Isopoda;Malacostraca;Arthropoda;Animalia
Porphyrio porphyrio;Rallidae;Gruiformes;Aves;Chordata;Animalia
Potamocorbula amurensis;Corbulidae;Myoida;Bivalvia;Mollusca;Animalia
Potamogeton crispus;Potamogetonaceae;Najadales;Liliopsida;Magnoliophyta;Plantae
Potamogeton perfoliatus;Potamogetonaceae;Najadales;Liliopsida;Magnoliophyta;Plantae
Potamopyrgus antipodarum;Hydrobiidae;Neotaenioglossa;Gastropoda;Mollusca;Animalia
Procambarus clarkii;Cambaridae;Decapoda;Malacostraca;Arthropoda;Animalia
Procyon lotor;Procyonidae;Carnivora;Mammalia;Chordata;Animalia
Prosopis;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Prosopis glandulosa;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Prosopis juliflora;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Prunus campanulata;Rosaceae;Rosales;Magnoliopsida;Magnoliophyta;Plantae
Pseudodiaptomus inopinus;Pseudodiaptomidae;Calanoida;Maxillopoda;Arthropoda;Animalia
Psidium cattleianum;Myrtaceae;Myrtales;Magnoliopsida;Magnoliophyta;Plantae
Psidium guajava;Myrtaceae;Myrtales;Magnoliopsida;Magnoliophyta;Plantae
Psittacula krameri;Psittacidae;Psittaciformes;Aves;Chordata;Animalia
Psoralea pinnata;Fabaceae;Fabales;Magnoliopsida;Magnoliophyta;Plantae
Pteris cretica;Pteridaceae;Polypodiales;Filicopsida;Pteridophyta;Plantae
Pterois volitans;Scorpaenidae;Scorpaeniformes;Actinopterygii;Chordata;Animalia
Pterygoplichthys anisitsi;Loricariidae;Siluriformes;Actinopterygii;Chordata;Animalia
Pterygoplichthys disjunctivus;Loricariidae;Siluriformes;Actinopterygii;Chordata;Animalia
Pterygoplichthys multiradiatus;Loricariidae;Siluriformes;Actinopterygii;Chordata;Animalia
